"Label"	"File"	"Line"	"Lines"	"Media"	"Text"	"Menu"	"Events"
"AmandaTalkHubEventEntry"	"game\NPC\Girls\Amanda\IntAmandaTalk.rpy"	"12"	"8"	""	""	""	"call checkTriggers(""talk"", ""amanda"", 0)"
"story_amanda_talk_hub_0"	"game\NPC\Girls\Amanda\IntAmandaTalk.rpy"	"20"	"5"	""	""	""	""
"story_amanda_dress_change_0"	"game\NPC\Girls\Amanda\IntAmandaTalk.rpy"	"25"	"5"	""	""	""	""
"IntAmandaTalk"	"game\NPC\Girls\Amanda\IntAmandaTalk.rpy"	"30"	"200"	""	"$ MainTxt = ""Аманда смотрит на вас с привычным любопытством, ожидая продолжения разговора."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Вы подошли к Аманде и извинились за то, что были к ней несколько невнимательны и грубы последнее время. В свое оправдание вы заметили, что уберечь трактир от разорения очень сложно и всем вам нужно дружно работать вместе, чтобы преуспеть."""	"menu:"	"call checkTriggers(""talk_amanda"", ""dress_change"", 0)"
"ShowAmandaPortrait"	"game\NPC\Girls\Amanda\ShowAmandaPortrait.rpy"	"4"	"7"	"vscene _amanda_portrait_picture"	""	""	""
"BeckyEddieJoinFirst"	"game\NPC\Girls\Becky\BeckyEddieJoinFirst.rpy"	"6"	"72"	"vscene scene_image || vscene scene_image || vscene scene_image"	""	"menu: || menu:"	""
"BeckyEddieJoinFirst_EddieFailureCode"	"game\NPC\Girls\Becky\BeckyEddieJoinFirst.rpy"	"78"	"17"	"vscene scene_image"	""	""	""
"BeckyEddieJoinFirst_EddieFirstCumCode"	"game\NPC\Girls\Becky\BeckyEddieJoinFirst.rpy"	"95"	"17"	""	""	""	""
"becky_eddie_black_eye"	"game\NPC\Girls\Becky\BeckyEvents.rpy"	"48"	"50"	""	"$ MainTxt = ""Эдди вернулся с синяком под глазом и распухшим ухом. Он явно получил хорошую взбучку где-то за городом.\n\n"" || $ CurLocDesc = MainTxt"	""	"# Wire the daily quest offer (in real engine this goes through daily_events.rows / CheckDailyEvent)"
"becky_blackwood_quest_start"	"game\NPC\Girls\Becky\BeckyEvents.rpy"	"98"	"70"	""	"$ MainTxt = ""«Стефан, я вижу ты человек надежный, тебе можно доверять,» неожиданно обратилась к вам Бекки, прервав ваше глубокомысленное разглядывание выложенных на продажу огурцов и прочей репы.\n\n"" || $ CurLocDesc = MainTxt || $ CurLocDesc = MainTxt"	"menu:"	""
"becky_blackwood_talk_reveal"	"game\NPC\Girls\Becky\BeckyEvents.rpy"	"168"	"47"	""	"$ MainTxt = ""«Дорожка в Куниделл, случаем не через Шервудский лес проходит?» невинно осведомились вы.\n\n"" || $ CurLocDesc = MainTxt"	""	""
"robin_mongol_vouch_safe_passage"	"game\NPC\Girls\Becky\BeckyEvents.rpy"	"215"	"37"	""	"$ MainTxt = ""Когда вы подходите к группе в зелёных трико, один из бандитов узнаёт вас и дёргает Робина за рукав.\n\n"" || $ CurLocDesc = MainTxt"	""	""
"zimmer_bandit_camp_choice"	"game\NPC\Girls\Becky\BeckyEvents.rpy"	"252"	"59"	""	"$ MainTxt = ""Вы добрались до лагеря обездоленных на вырубке. Несколько десятков человек в зелёных трико. Робин в центре.\n\n"" || $ CurLocDesc = MainTxt"	"menu:"	""
"zimmer_guard_mission_update"	"game\NPC\Girls\Becky\BeckyEvents.rpy"	"311"	"46"	""	"$ MainTxt = ""Вы возвращаетесь к десятнику Циммерману в городскую стражу.\n\n"" || $ CurLocDesc = MainTxt"	""	""
"story_becky_home_front_inga_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"7"	"48"	"vscene scene_image || vscene scene_image"	""	"menu:"	""
"story_becky_home_front_peek_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"55"	"67"	"vscene scene_image || vscene scene_image || vscene scene_image"	""	"menu:"	""
"story_becky_home_front_share_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"122"	"31"	"vscene scene_image"	""	"menu:"	""
"story_becky_home_front_ignore_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"153"	"16"	""	""	"menu:"	""
"story_becky_home_front_suggest_approach_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"169"	"37"	""	""	"menu: || menu:"	""
"story_becky_home_front_watch_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"206"	"48"	"vscene scene_image"	""	"menu:"	""
"story_becky_home_front_approach_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"254"	"39"	""	""	"menu:"	""
"story_becky_home_visit_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"293"	"69"	"vscene scene_image || vscene scene_image"	""	"menu: || menu:"	""
"story_becky_home_from_dances_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"362"	"18"	"vscene scene_image"	""	""	""
"story_becky_home_from_dinner_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"380"	"24"	"vscene scene_image"	""	""	""
"story_becky_home_svalnyi_greh_0"	"game\NPC\Girls\Becky\BeckyHomeEvents.rpy"	"404"	"17"	"vscene scene_image"	""	""	""
"BeckyInviteHome"	"game\NPC\Girls\Becky\BeckyInviteHome.rpy"	"8"	"10"	""	""	""	""
"BeckyLoversInStore"	"game\NPC\Girls\Becky\BeckyLoversInStore.rpy"	"6"	"41"	""	"$ CurLocDesc = MainTxt"	""	""
"BeckyQuestInit"	"game\NPC\Girls\Becky\BeckyQuestInit.rpy"	"8"	"26"	""	""	"menu: || menu: || menu:"	""
"GeorgettBeckyVisit"	"game\NPC\Girls\Becky\GeorgettBeckyVisit.rpy"	"6"	"146"	"vscene scene_image || vscene scene_image || vscene scene_image"	""	"menu:"	""
"InitBecky"	"game\NPC\Girls\Becky\InitBecky.rpy"	"339"	"10"	""	""	""	""
"story_becky_church_after_sermon"	"game\NPC\Girls\Becky\IntBeckyAfterCermon.rpy"	"6"	"15"	"vscene ""images/church/confessionEntry.png"""	"$ MainTxt = MainTxt + ""\n\nВы заметили, как миссис Блэнкеншип направилась было к кабинке для исповеди, но отец Герхард взял ее за руку и повел к неприметной двери, которую он отпер висящим у него на поясе ключом. Как только вдова проследовала за ним, дверь захлопнулась и послышался стук задвигаемого засова. Хотя вы можете попробовать посмотреть, что там происходит через замочную скважину."" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_becky_church_after_sermon_look"	"game\NPC\Girls\Becky\IntBeckyAfterCermon.rpy"	"21"	"135"	"vscene scene_image || vscene scene_image || vscene scene_image"	"$ MainTxt = ""Посмотрев в замочную скважину вы, как и ожидали, увидели Ребекку Блэнкеншип и отца Герхарда."" || $ MainTxt = MainTxt + ""\n\n\""Приветствую тебя, дочь моя,\"" смиренно сказал жрец. \""Что-то ты давно на исповедь не захаживала, а ведь грех это, исповедь пропускать.\""\n\""Знаю, падре, знаю.\"""" || $ MainTxt = MainTxt + ""\n\n\""Уверен, за все то время, что прошло с нашей прошлой встречи, ты не смогла удержаться от греха,\"" напористо заявил святой отец, \""не правда ли? И помни, что самый большой грех - это лгать на исповеди.\"""""	"menu: || menu: || menu:"	""
"story_becky_friday_dance_mc_0"	"game\NPC\Girls\Becky\IntBeckyDance.rpy"	"6"	"10"	"vscene ""images/market/LocFridayDance.jpg"" || call ShowImage(""becky"", ""dance"", ""wait"")"	""	""	""
"int_becky_dance"	"game\NPC\Girls\Becky\IntBeckyDance.rpy"	"16"	"235"	"vscene scene_image || vscene scene_image || vscene scene_image"	""	"menu:"	""
"becky_accept_home_invitation"	"game\NPC\Girls\Becky\IntBeckyDance.rpy"	"251"	"5"	""	""	""	""
"IntBeckyDressChange"	"game\NPC\Girls\Becky\IntBeckyDressChange.rpy"	"60"	"138"	""	""	"menu:"	""
"IntBeckyGuest"	"game\NPC\Girls\Becky\IntBeckyGuest.rpy"	"6"	"248"	"vscene scene_image || vscene scene_image || vscene scene_image"	""	"menu:"	"if dinnertime == 5 and story_event_available(""BeckyHome"", ""georgett_home_visit""): || call checkTriggers(""BeckyHome"", ""georgett_home_visit"", 0) || if dinnertime == 5 and story_event_available(""BeckyHome"", ""georgett_home_visit""):"
"BeckyGuestKidsWatchStepsCode"	"game\NPC\Girls\Becky\IntBeckyGuest.rpy"	"254"	"10"	""	""	""	""
"IntBeckySex"	"game\NPC\Girls\Becky\IntBeckySex.rpy"	"48"	"443"	"call ShowImage(GirlNameIBS, ""sex"", ""kiss"") || call ShowImage(GirlNameIBS, ""sex"", _becky_grope_pic) || call ShowImage(GirlNameIBS, ""sex"", ""gropetits"")"	""	"menu: || menu: || menu:"	""
"IntBeckyTalk"	"game\NPC\Girls\Becky\IntBeckyTalk.rpy"	"4"	"91"	"vscene grocery_store_grocer_picture(""becky"") || vscene _becky_picture"	"$ MainTxt = ""За прилавком стоит сама Бекки Блэнкеншип. Это высокая рыжая женщина с полной грудью, ей на вид немного меньше сорока. Ее муж умер от болезни примерно за год до того, как ваш отец купил \""Дикого Жеребца\""."" || $ CurLocDesc = MainTxt || $ MainTxt = ""Бекки внимательно смотрит на вас, ожидая, что вы захотите обсудить."""	"menu:"	"""Спросить Бекки про дочку с женихом"" if story_event_available(""talk_becky"", ""becky_talk_inga1""): || call checkTriggers(""talk_becky"", ""becky_talk_inga1"", 0) || ""Распросить еще про дочку"" if story_event_available(""talk_becky"", ""becky_talk_inga2""):"
"story_becky_sherwood_offer_0"	"game\NPC\Girls\Becky\IntBeckyTalkSherwood.rpy"	"6"	"12"	""	"$ MainTxt = ""\""Ага передумал,\"" радостно воскликнула вдова. \""Так я и знала, что жадность твою лень пересилит! Рада, что в тебе не ошиблась.\"""" || $ CurLocDesc = MainTxt"	""	""
"story_becky_sherwood_elves_0"	"game\NPC\Girls\Becky\IntBeckyTalkSherwood.rpy"	"18"	"12"	""	"$ MainTxt = ""\""Так я торговала,\"" отозвалась вдовушка. \""Но вот лошадь наша недавно издохла, а на новую у меня сейчас денег нет. Вот и решила, чтоб не дать подработать хорошему человеку.\"""" || $ CurLocDesc = MainTxt"	""	""
"story_becky_sherwood_fingal_0"	"game\NPC\Girls\Becky\IntBeckyTalkSherwood.rpy"	"30"	"10"	""	"$ MainTxt = ""\""Ээ, ну нет, в общем-то нет,\"" быстро отозвалась Ребекка, слегка покраснев."" || $ CurLocDesc = MainTxt"	""	""
"story_becky_sherwood_warn_0"	"game\NPC\Girls\Becky\IntBeckyTalkSherwood.rpy"	"40"	"10"	""	"$ MainTxt = ""\""Да, ничего особенного, все нормально будет,\"" с наигранной беспечностью отозвалась Ребекка."" || $ CurLocDesc = MainTxt"	""	""
"story_becky_sherwood_road_0"	"game\NPC\Girls\Becky\IntBeckyTalkSherwood.rpy"	"50"	"16"	""	"$ MainTxt = ""\""Дорожка в Куниделл, случаем не через Шервудский лес проходит?\"" невинно осведомились вы."" || $ CurLocDesc = MainTxt"	""	""
"story_becky_sherwood_lied_0"	"game\NPC\Girls\Becky\IntBeckyTalkSherwood.rpy"	"66"	"9"	""	"$ MainTxt = ""\""Так я ж не нарочно. Ну, вернее, думала что ты и так справишься, ты ж смышленный, что тебя раньше времени пугать?\"""" || $ CurLocDesc = MainTxt"	""	""
"story_becky_sherwood_robbed_0"	"game\NPC\Girls\Becky\IntBeckyTalkSherwood.rpy"	"75"	"11"	""	"$ MainTxt = ""\""Ой беда-то какая!\"" заохала вдова. \""Это тебя Робин ограбил? Я уж думала он не шалит больше, а оно вот как обернулось. Он, Сирик этакий, Эдди моего ведь тоже ограбил. Даже избил. А тебе вишь, повезло, он тебя и не тронул. Так что можно считать легко отделался.\"""" || $ CurLocDesc = MainTxt"	""	""
"story_becky_sherwood_howto_0"	"game\NPC\Girls\Becky\IntBeckyTalkSherwood.rpy"	"86"	"10"	""	"$ MainTxt = ""\""Ох, значит Робин этот окаянный там еще. Может ты чего придумаешь? Как бы с ним договориться, больно хорошие деньги эльфы за огурцы платят. А эта их, леди Минетуэль, мне даже сказала как-то, что мол без твоих огурцов я и не знаю, чтобы делала. Все мужики кругом, мол, - эльфы, только огурцы и выручают. До сих пор голову ломаю, что это она в виду имела.\"""" || $ CurLocDesc = MainTxt"	""	""
"story_becky_sherwood_warned_0"	"game\NPC\Girls\Becky\IntBeckyTalkSherwood.rpy"	"96"	"7"	""	"$ MainTxt = ""\""Так не виноватая я. Ты и не спрашивал-то особо. А я думала что ты и так справишься, ты ж смышленный, что тебя раньше времени расстраивать? А может энтово Робина там и нет уже? Может он ушел кудайсь? Могло же такое быть? Могло. Вот я и решила тебя не пугать. Ты уж прости меня, дуру.\"""" || $ CurLocDesc = MainTxt"	""	""
"_int_becky_talk_smalltalk"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"7"	"11"	""	""	""	""
"_int_becky_talk_personal"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"18"	"11"	""	""	""	""
"story_becky_talk_inga_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"29"	"11"	""	""	""	""
"story_becky_talk_inga_1"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"40"	"12"	""	""	""	""
"story_becky_talk_lucas_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"52"	"11"	""	""	""	""
"story_becky_talk_husband_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"63"	"11"	""	""	""	""
"story_becky_talk_husband_1"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"74"	"11"	""	""	""	""
"story_becky_talk_husband_2"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"85"	"11"	""	""	""	""
"story_becky_talk_husband_3"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"96"	"11"	""	""	""	""
"story_becky_talk_eddie_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"107"	"11"	""	""	""	""
"story_becky_talk_eddie_georgett_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"118"	"23"	""	""	""	""
"story_becky_home_invite_talk_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"141"	"54"	""	""	""	""
"story_becky_talk_pregnancy_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"195"	"10"	""	"$ MainTxt = DaddyAskBuildPhrase(girl_name) || $ CurLocDesc = MainTxt"	""	""
"story_becky_home_last_visit_talk_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"205"	"42"	""	""	""	""
"story_becky_talk_eddie_behavior_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"247"	"20"	""	""	""	""
"story_becky_talk_eddie_georgett_1"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"267"	"20"	""	""	""	""
"story_becky_talk_eddie_reaction_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"287"	"27"	""	""	""	""
"story_becky_talk_eddie_reaction_1"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"314"	"49"	""	""	""	""
"story_becky_talk_eddie_after_sex_0"	"game\NPC\Girls\Becky\IntBeckyTalkTopics.rpy"	"363"	"19"	""	""	""	""
"ShowBeckyPortrait"	"game\NPC\Girls\Becky\ShowBeckyPortrait.rpy"	"4"	"11"	"call ShowImage(GirlName, ""portraits"", ""naked"" + str(procedural_randint(1, 3, key=""procedural:NPC/Girls/Becky/ShowBeckyPortrait.rpy:procedural_randint:12:1""))) || call ShowImage(GirlName, ""portraits"", ""nakedtits"" + str(procedural_randint(1, 2, key=""procedural:NPC/Girls/Becky/ShowBeckyPortrait.rpy:procedural_randint:14:2""))) || call ShowImage(GirlName, ""portraits"", ""nakedpussy"" + str(procedural_randint(1, 2, key=""procedural:NPC/Girls/Becky/ShowBeckyPortrait.rpy:procedural_randint:16:3"")))"	""	""	""
"story_clara_market_booklet_0"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"15"	"22"	"vscene ""images/clara/market_day.png"""	"$ MainTxt = ""Днем на рынке снова мелькает фигура в легком плаще. Вы узнаете Клариссу раньше, чем она успевает скрыть лицо. Девушка замечает вас, поспешно натягивает капюшон и идет быстрее, будто совершенно не хочет, чтобы ее здесь окликали.\n\nЕсли уж вы хотите узнать, чем она занимается, сейчас самое время попробовать проследить за ней."" || $ MainTxt = ""На дневном рынке среди покупателей вы замечаете фигуру в плаще. Сначала это просто случайный силуэт в толпе, но затем вы узнаете Клариссу, дочку своего винного поставщика.\n\nВы уже собираетесь окликнуть ее, но Кларисса, едва встретившись с вами взглядом, поспешно набрасывает на голову капюшон и сразу идет быстрее между рядами лавок. Похоже, у нее здесь какие-то совсем частные дела, и узнавать себя она сейчас не хочет."" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_clara_market_booklet_ignore"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"37"	"16"	"vscene ""images/clara/market_day.png"""	"$ MainTxt = ""Вы решаете не вмешиваться и позволяете Клариссе скрыться среди торговых рядов."" || $ CurLocDesc = MainTxt"	""	""
"story_clara_market_booklet_follow"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"53"	"30"	"vscene ""images/clara/market_day.png"" || vscene ""images/clara/market_bookletDeal.png"""	"$ MainTxt = ""Вы стараетесь не отстать, но дневной рынок слишком шумный и тесный. Стоит вам замешкаться на пару шагов, как Кларисса ускользает между рядами и будто растворяется среди чужих спин.\n\nПохоже, без лучшей сноровки в слежке вы просто потеряете ее снова."" || $ CurLocDesc = MainTxt || $ MainTxt = ""На этот раз вы не теряете Клариссу в толпе. Держась в стороне, вы видите, как она сворачивает к неприметному торговцу, которого почти не видно с центральных рядов. Обмен короткий и явно привычный: Кларисса по одной передает ему тонкие книжечки, похожие на небольшие буклеты, а тот быстро сует их в сумку и так же быстро отсчитывает ей деньги.\n\nТеперь уже ясно, что речь идет не о простой прогулке по рынку. Кларисса что-то сбывает через этого таинственного торговца."""	"menu:"	""
"story_clara_market_booklet_follow_success_leave"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"83"	"11"	""	""	""	""
"story_clara_market_booklet_confront"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"94"	"28"	"vscene ""images/clara/market_bookletDeal.png"""	"$ MainTxt = ""Вы выходите из-за лотка без лишней суеты и даете Клариссе понять, что уже видели похожие непристойные рисунки у Мелиссы. На секунду она белеет, но, заметив ваш бандитский костюм и поняв, что вы не собираетесь устраивать сцену, быстро берет себя в руки.\n\nКларисса коротко просит не устраивать разговор прямо здесь, а таинственный торговец запоминает вас уже без прежней враждебности. Похоже, с этого дня он готов показывать вам свой особый товар не чаще раза в месяц, а сама Кларисса становится с вами заметно откровеннее."" || $ MainTxt = ""Вы подходите ближе и спокойно даете понять Клариссе, что уже видели похожие непристойные рисунки и догадываетесь, чем она тут занимается. Девушка сразу напрягается, но, услышав, что вы не собираетесь ее выдавать, все же выдыхает.\n\nБез долгих разговоров Кларисса просит не поднимать шум на рынке. Торговец рядом молча запоминает вас взглядом. Похоже, теперь и он будет считать вас своим человеком, а сама Кларисса станет откровеннее лишь если решит, что вам действительно можно доверять."" || $ CurLocDesc = MainTxt"	""	""
"story_clara_market_booklet_2"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"122"	"18"	"vscene ""images/clara/market_night.png"""	"$ MainTxt = ""Вечером рынок закрыт, и площадь выглядит почти пустой. У закрытых лавок задержались лишь несколько человек, поэтому фигура в плаще сразу бросается в глаза. Когда она проходит ближе к фонарю, вы узнаете Клариссу.\n\nСтоит ей заметить ваш взгляд, как девушка глубже натягивает капюшон и быстро уходит в сторону закутка у конного торга. Хм. Очень интересно, что она делает здесь в такое время.\n\nПохоже, на этот раз дело идет уже не о книжечках, а о чем-то более грязном."" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_clara_market_booklet_2_ignore"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"140"	"14"	"vscene ""images/clara/market_night.png"""	"$ MainTxt = ""Вы не рискуете ходить за Клариссой по закрытому рынку. Если здесь и происходит что-то грязное, сегодня вы предпочитаете не лезть в темный закуток без подготовки."" || $ CurLocDesc = MainTxt"	""	""
"story_clara_market_booklet_2_follow"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"154"	"27"	"vscene ""images/clara/market_night.png"""	"$ MainTxt = ""Закрытый вечерний рынок куда опаснее для слежки, чем дневная толпа. Стоит вам задеть чью-то корзину и чуть замешкаться, как Кларисса вместе с Монголом растворяются в темном закутке между пустеющими рядами. Без лучшей сноровки здесь их не удержать."" || $ CurLocDesc = MainTxt"	""	""
"story_clara_market_booklet_3"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"181"	"24"	"vscene ""images/clara/mongolTalk.png"""	"$ MainTxt = ""На этот раз вы держитесь достаточно далеко и не выдаете себя ни шагом, ни тенью. Кларисса уводит вас к самому краю рынка, где ее уже ждет Монгол. Разговор идет быстро и вполголоса, но вы успеваете разобрать главное.\n\nКларисса велит ему взять не первую попавшуюся клячу, а хорошую лошадь, чтобы потом продать ее с наваром. Деньги она требует делить честно, потому что именно она нашла покупателя и подсказала, где можно взять товар так, чтобы шум поднялся не сразу. Монгол в ответ ухмыляется, обещает свою долю и, будто нарочно, поддевает ее, что в ее любимом бандитском костюме она выглядела бы среди его людей вовсе как своя.\n\nТеперь уже ясно, что Кларисса не просто прячет от вас книжечки. Она сознательно полезла в настоящую грязь."" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_clara_market_booklet_4"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"205"	"33"	"vscene ""images/clara/mongolTalk.png"""	"$ MainTxt = ""Вы дожидаетесь удобного момента и без окриков говорите Клариссе, что видели ее вечерний разговор с Монголом. Девушка сначала белеет, потом зло сжимает губы, но быстро понимает, что вы пришли не сдавать ее отцу.\n\n\""Да, это я его подбила,\"" признается она наконец. \""Мне нужны деньги. Отец уже подбирает мне старого хрыча в столице, и весь этот брак будет не для меня, а для его торговли. Я не собираюсь ехать туда смирной куклой.\"" Она нервно усмехается и добавляет, что книжечки, рисунки и все разговоры про свободу для нее давно перестали быть просто романтической чушью. \""Хочется хоть раз жить не по чужому счету. А Монгол обещал, что если я соберу достаточно денег, то в его тайном кругу мне найдут место. Хоть кем. Хоть рисовальщицей, хоть этой их девкой для сценок. Знаю, звучит грязно. Но это все равно лучше, чем лечь под старого вонючего дурака по приказу отца.\""\n\nСказав это, Кларисса смотрит на вас уже не как на случайного покупателя, а как на человека, который теперь знает слишком много."" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_clara_market_booklet_5"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"238"	"25"	"vscene ""images/general/hunter_store_catInfo.png"""	"$ MainTxt = ""Едва вы входите в охотничий клуб, как из угла до вас доносится горячий пересказ свежей городской новости. Охотники с явным удовольствием обсуждают, как стража наконец-то сцапала конокрада, слишком уж долго крутившегося вокруг рынка и конного торга.\n\n\""Сидит теперь у караулки в колодках, вместе с парой таких же голодранцев,\"" хмыкает один. \""Пусть народ посмотрит, может поумнеют.\"" Другой замечает, что десятник Циммерман теперь ходит важный, как будто сам лично всю шайку выволок за шкирку.\n\nСудя по обрывкам слов, речь идет о Монголе."" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_clara_market_booklet_6"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"263"	"25"	"vscene ""images/mongolStock.png"""	"$ MainTxt = ""На рыночной площади, возле караулки, стоят тяжелые колодки. В них вместе с еще парой помятых головорезов сидит и Монгол. От прежней ярмарочной ухмылки в нем мало что осталось: губа разбита, рубаха грязная, но глаза все еще бегают живо.\n\nЗаметив вас, он дергается и шипит сквозь зубы: \""Стефан, брат, не губи. Я тут с голоду загнусь раньше, чем меня судить начнут. Принеси ночью пожрать, а там, может, и поговорим. Я добро помню. И про Клариссу тоже помню.\"""" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_clara_market_booklet_7"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"288"	"20"	"vscene ""images/mongolStock.png"""	"$ MainTxt = ""Ночью у караулки тихо, только где-то внутри переговариваются сонные стражи. Монгол в колодках шевелится и, увидев вас, сразу подается вперед.\n\n\""Ну что, принес чего-нибудь?\"" шепчет он. \""Я тут второй день на одной воде. Помоги сейчас, и я потом не забуду.\"""" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_clara_market_booklet_feed_mongol"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"308"	"20"	"vscene ""images/mongolStock.png"""	"$ MainTxt = ""Вы незаметно протягиваете Монголу завернутую в тряпицу еду из трактирной кухни. Тот жадно хватается за нее обеими руками, давится первыми кусками и тут же начинает шептать благодарности.\n\n\""Вот это по-людски, Стефан. Еще бы отмычки добыть, да стражу чем-нибудь отвлечь... Тогда я не просто вылезу, а еще и твой долг запомню. Если потом занесет к людям Робина, скажу им, кто ты такой.\"""" || $ CurLocDesc = MainTxt"	""	""
"story_clara_market_booklet_8"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"328"	"20"	"vscene ""images/draupnir/dwarf1.jpg"""	"$ MainTxt = ""Вы находите Драупнира за верстаком и, не мудрствуя лукаво, объясняете, что вам нужны очень тонкие отмычки. Гном сперва косится на вас с подозрением, потом только фыркает.\n\n\""Ничего не знаю и знать не хочу, для какой двери тебе такая железяка,\"" ворчит он. \""Но если работа тонкая и молчаливая, то это ко мне. За сорок мараведи сделаю хороший набор, который и в сапог спрятать не стыдно.\"""" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_clara_market_booklet_lockpicks_order"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"348"	"20"	"vscene ""images/draupnir/dwarf1.jpg"""	"$ MainTxt = ""Драупнир быстро прячет деньги, вытаскивает из ящика тонкий кожаный сверток и сует его вам почти не глядя.\n\n\""Вот. Только если с этим полезешь куда не надо, не вздумай потом ссылаться на меня,\"" бурчит гном. Судя по тяжести свертка, набор отмычек у вас теперь есть."" || $ CurLocDesc = MainTxt"	""	""
"story_clara_market_booklet_9"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"368"	"20"	"vscene ""images/mongolStock.png"""	"$ MainTxt = ""Следующей ночью вы возвращаетесь к караулке уже подготовленным. Монгол сразу понимает это по вашему лицу и только сильнее вжимается в колодки, чтобы не привлекать лишних взглядов.\n\nТеперь все упирается в одно: если вы хотите вытащить его отсюда, надо сперва умаслить стражу и отвлечь ее чем-то приятнее ночного дежурства."" || $ CurLocDesc = MainTxt"	"menu:"	""
"story_clara_market_booklet_release_mongol"	"game\NPC\Girls\Clara\ClaraBookletMarketThread.rpy"	"388"	"21"	"vscene ""images/mongolStock.png"""	"$ MainTxt = ""Вы заранее посылаете к караулке кувшин вина и хороший ужин из трактира с вежливой припиской: мол, \""Дикий Жеребец\"" благодарит городскую стражу за поимку конокрадов. Стража мгновенно добреет к такой заботе. Сам десятник Циммерман замечает, что вот это уже разговор с уважаемым трактирщиком, который умеет ценить порядок в городе.\n\nКогда угощение делает свое дело и дежурные окончательно расслабляются, вы выбираете момент, приседаете к колодкам и пускаете в ход заказанные у Драупнира отмычки. Замок поддается не сразу, но все же тихо щелкает. Монгол выскальзывает из дерева, как уж, шепотом сыплет вам благодарностями и обещает, что люди Робина в Шервуде узнают, кому он обязан свободой.\n\nЕще до рассвета его и след простыл."" || $ CurLocDesc = MainTxt"	""	""
